File	Row	OriginalMID	FinalMID	Manufacturer	Address
999-32980463-A.xlsx	2	CNGUADAR16GUA	CNGUADAR2GUA	Guangzhou Darling Garment Co., Ltd.	2nd Floor, Guangzhou Huangzhen Advertising Co., Ltd., 16 Yifu Street, Shiweitang Street, Liwan District, Guangzhou City, Guangdong Province, China
999-32980463-A.xlsx	7	CNWUHDOR888WUH	CNWUHDOR3WUH	Wuhan Doris Electronic Commerce Co., Ltd.	Room 3, 18th Floor, Unit 2, Building A11, No. 888, Kangfu Road, Guanshan Street, Hongshan District, Wuhan City, Hubei Province, Mainland China
999-32980463-A.xlsx	10	CNQIAMIN234QIA	CNQIAMIN6QIA	Qianjiang Mingzhe Garment Factory/Zhang Jie	Group 6, China Telecom Longwan Business Hall (G234 Business Hall), Longwan Town, Qianjiang City, Qianjiang, Hubei Province, China
999-32980463-A.xlsx	14	CNGUAYUA12GUA	CNGUAYUA1GUA	Guangzhou Yuanyuzhou Clothing Co., Ltd.	1st Floor, Building 1, Wangyuan Garment Factory, 12 Gongye 2nd Road, Dashi Street, Panyu District, Guangzhou City, Guangdong Province, China
999-32980463-A.xlsx	17	CNGUAYEH15GUA	CNGUAYEH1GUA	Guangzhou Yehe Garment Co., Ltd.	Tianyu Garment Factory, No. 1-5 Maoshan Avenue, Xintang Town, Zengcheng District, Guangzhou City, Guangdong Province, China
999-32980463-A.xlsx	30	CNZHOJUR3ZHO	CNZHOJUR5ZHO	Zhongshan Jurui Clothing Co., Ltd.	One of the 3rd Floors, Guangdong Hanmei Lighting Co., Ltd., No. 5 Heman Street, Xiaolan Town, Zhongshan City, Guangdong Province, China
999-32980463-A.xlsx	31	CNFOSHAP118FOS	CNFOSHAP2FOS	Foshan Happy Bandy Clothing Co., Ltd.	2nd Floor, Tonghai Electronics Factory, 118 Dieibei Avenue, Guicheng Street, Nanhai District, Foshan City, Guangdong Province, China
999-32980463-A.xlsx	33	CNGUAZUN1432GUA	CNGUAZUN201GUA	Guangzhou Zunqian Clothing Co., Ltd.	Room 201, Bank of China (Guangzhou Guangzhou Avenue Branch), 1432 Guangzhou Avenue, Linhe Street, Tianhe District, Guangzhou City, Guangdong Province, China
999-32980463-A.xlsx	35	CNFOSAIE2FOS	CNFOSAIE3FOS	Foshan Aiertong Clothing Co., Ltd.	2nd Floor, Building 3, Xiashi Industrial Zone, Zumiao Street, Chancheng District, Foshan City, Guangdong Province, China
999-32980463-A.xlsx	36	CNDONHUM4DON	CNDONHUM3DON	Dongguan Humen Yuntong Garment Processing Factory	4th Floor, Building 3, Comprehensive Road, Bogong Wang Wu, Humen Town, Dongguan City, Dongguan City, Guangdong Province, China
999-32980463-A.xlsx	39	CNFOSCHA78FOS	CNFOSCHA7FOS	Foshan Chancheng Tongxing Garment Factory	3rd Floor, Building A, Xiashi Industrial Zone, No. 7-8, Chao'an North Road, Zumiao Street, Chancheng District, Foshan City, Guangdong Province, China
999-32980463-A.xlsx	42	CNHUIHAO76HUI	CNHUIHAO1HUI	Huizhou Haosheng Clothing Co., Ltd.	Building D, Unit 1, Huizhou Haosheng Apparel Co., Ltd., 76 Lishan Road, Shiwantown, Boluo County, Huizhou City, Guangdong Province, China
999-32980463-A.xlsx	47	CNHUIXIN3HUI	CNHUIXIN4HUI	Huizhou Xingcan Clothing Co., Ltd.	3rd Floor, Building 4, Shangnan Industrial Zone, Yuanzhou Town, Boluo County, Huizhou City, Guangdong Province, China
999-32980463-A.xlsx	50	CNZHOHAO2ZHO	CNZHOHAO124ZHO	Zhongshan Haomiao Clothing Co., Ltd.	2nd Floor, Guangdong Shenweiji Textile & Garment Co., Ltd., No. 124 Xingong Road, Shaxi Town, Zhongshan City, Guangdong Province, China
999-32980463-A.xlsx	52	CNGUALIX106GUA	CNGUALIX1GUA	Guangzhou Lixia Trading Co., Ltd.	Building 1, China Railway Construction Group Southern Engineering Co., Ltd., No. 106, Fengze East Road, Nansha Street, Nansha District, Guangzhou City, Guangdong Province, China
999-32980463-A.xlsx	55	CNSHACHO5SHA	CNSHACHO9SHA	Shantou Chongyou Clothing Co., Ltd.	5th Floor, Kaida Building, No. 9 Fenghuangshan Road, Jinxia Street, Longhu District, Shantou City, Guangdong Province, China
999-32980463-A.xlsx	68	CNZHABAI2GUA	CNZHABAI3GUA	Zhaoqing Baiheng Clothing Co., Ltd.	2nd Floor, Building 3, Liren Village 4th Street, 3 Xinxing Avenue 4th Street, Nancun Town, Panyu District, Guangzhou City, Guangdong Province, China
999-32980463-A.xlsx	73	CNZHOHAO5ZHO	CNZHOHAO2ZHO	Zhongshan Haofeng Clothing Co., Ltd.	5th Floor, Guangdong Libushangshu Cultural Development Co., Ltd., No. 2 Longyang Road, Saxi Town, Zhongshan City, Zhongshan, Guangdong Province, China
999-32980463-A.xlsx	82	CNGUAXIA009GUA	CNGUAXIA0GUA	Guangzhou Xiangsheng Clothing Co., Ltd.	Unit B, 4th Floor, D009, Xinjinma Backyard, 159 Xianlie East Road, Shahe Street, Tianhe District, Guangzhou City, Guangdong Province, China
999-32980463-A.xlsx	102	CNGUASIT1428GUA	CNGUASIT2058GUA	Guangzhou Sitong Trading Co., Ltd.	Booth 2058, Jinsha Garment Market, 1428-3 Guangzhou Avenue, Linhe Street, Tianhe District, Guangzhou City, Guangdong Province, China
999-32980463-A.xlsx	103	CNDONXIN12JIN	CNDONXIN3JIN	Dongyang Xinyi Clothing Co., Ltd.	3rd Floor, Kangaroo Lin Zhi Apparel Co., Ltd., 12 Kunxi Road, Baiyun Street, Dongyang City, Jinhua City, Zhejiang Province, China
999-32980463-A.xlsx	117	CNGUATAI1101GUA	CNGUATAI405GUA	Guangzhou Taisheng Garment Co., Ltd.	Room 405, 11th Floor, Unit 1101, Guangzhou Dongshen Brand Design Co., Ltd., 4 Lingshan East Road, Zhuji Street, Tianhe District, Guangzhou City, Guangdong Province, China
999-32980463-A.xlsx	126	CNGUASIJ106GUA	CNGUASIJ1GUA	Guangzhou Siji E-Commerce Co., Ltd.	Building 1, Guangzhou Lexiang Trading Co., Ltd., No. 106, Fengze East Road, Nansha Street, Nansha District, Guangzhou City, Guangdong Province, China
999-32980463-A.xlsx	129	CNZHAHAO1733ZHA	CNZHAHAO0ZHA	Zhangzhou Haoying Garment Weaving Co., Ltd.	Xiangzhen Discount Shopping, No. 173-3, Pantuo Town, Zhangpu County, Zhangzhou City, Fujian Province, China
999-32980463-A.xlsx	130	CNFOSCHA78FOS	CNFOSCHA7FOS	Foshan Chancheng Tongxing Garment Factory	3rd Floor, Building A, Xiashi Industrial Zone, No. 7-8, Chao'an North Road, Zumiao Street, Chancheng District, Foshan City, Guangdong Province, China
999-32980463-A.xlsx	136	CNYIWYUL507JIN	CNYIWYUL2JIN	Yiwu Yuli Electronic Commerce Co., Ltd.	Unit 2, Building 42, No. 507, No. 8, Liuqing District, Huancheng West Road, Beiyuan Street, Yiwu City, Jinhua City, Zhejiang Province, China
999-32980463-A.xlsx	138	CNGUADIB5GUA	CNGUADIB3GUA	Guangzhou Dibeiming Garment Co., Ltd.	5th Floor, Guangzhou Dibeiming Garment Co., Ltd., No. 3, Huayuan Road, Xintang Town, Zengcheng District, Guangzhou City, Guangdong Province, China
999-32980463-A.xlsx	143	CNGUA1203GUA	CNGUA203GUA	Guangzhou 1.3 billion Clothing Trading Co., Ltd.	Unit 203, Parking Lot, Dayuan E-commerce Headquarters Center, 48 Dayuan East Road, Dayuan Street, Baiyun District, Guangzhou City, Guangdong Province, China
